"Group","ID","Item","Guidance","Done","Notes"
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.1","NETWORK-BOUND DISK ENCRYPTION                                                     139","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.2","DEPLOYING A TANG SERVER WITH SELINUX IN ENFORCING MODE                            141","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.3","ROTATING TANG SERVER KEYS AND UPDATING BINDINGS ON CLIENTS                        143","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.4","CONFIGURING AUTOMATED UNLOCKING BY USING A TANG KEY IN THE WEB CONSOLE            144","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.5","BASIC NBDE AND TPM2 ENCRYPTION-CLIENT OPERATIONS                                  146","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.6","CONFIGURING NBDE CLIENTS FOR AUTOMATED UNLOCKING OF LUKS-ENCRYPTED VOLUMES 148","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.7","CONFIGURING NBDE CLIENTS WITH STATIC IP CONFIGURATION                             150","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.8","CONFIGURING MANUAL ENROLLMENT OF LUKS-ENCRYPTED VOLUMES BY USING A TPM 2.0 POLICY","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.9","CONFIGURING UNLOCKING OF LUKS-ENCRYPTED VOLUMES BY USING A PKCS #11 PIN           153","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.10","REMOVING A CLEVIS PIN FROM A LUKS-ENCRYPTED VOLUME MANUALLY                      155","","",""
"CONFIGURING AUTOMATED UNLOCKING OF ENCRYPTED VOLUMES BY USING POLICY- .B.A. S. .E.D. . D. .E.C. .R.Y. .P.T. I.O. .N. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1.3.9. . . . . . . . . . . . .","11.11","CONFIGURING AUTOMATED ENROLLMENT OF LUKS-ENCRYPTED VOLUMES BY USING KICKSTART","","",""
