"Group","Practice","Guidance","Reference","Done","Notes"
"DynamoDB preventative security best practices","Encryption at rest","DynamoDB encrypts at rest all user data stored in tables, indexes, streams, and backups using encryption keys stored in AWS Key Management Service (AWS KMS). This provides an additional layer of data protection by securing your data from unauthorized access to the underlying storage. You can specify whether DynamoDB should use an AWS owned key (default encryption type), an AWS managed key, or a customer managed key to encrypt user data.","Amazon DynamoDB Encryption at Rest","",""
"DynamoDB preventative security best practices","Use IAM roles to authenticate access to DynamoDB","For users, applications, and other AWS services to access DynamoDB, they must include valid AWS credentials in their AWS API requests. We recommend that you do not store AWS credentials directly in the application or EC2 instance. These are long-term credentials that are not automatically rotated, and therefore could have significant business impact if they are compromised. An IAM role enables you to obtain temporary access keys that can be used to access AWS services and resources.","Identity and Access Management for Amazon DynamoDB","",""
"DynamoDB preventative security best practices","Use IAM policies for DynamoDB base authorization","When granting permissions, you decide who is getting them, which DynamoDB APIs they are getting permissions for, and the specific actions you want to allow on those resources. Implementing least privilege is key in reducing security risk and the impact that can result from errors or malicious intent. Attach permissions policies to IAM identities (that is, users, groups, and roles) and thereby grant permissions to perform operations on DynamoDB resources. You can do this by using the following: AWS Managed (predefined) policies Customer managed policies","","",""
"DynamoDB preventative security best practices","Use IAM policy conditions for fine-grained access control","When you grant permissions in DynamoDB, you can specify conditions that determine how a permissions policy takes effect. Implementing least privilege is key in reducing security risk and the impact that can result from errors or malicious intent. You can specify conditions when granting permissions using an IAM policy. For example, you can do the following: Grant permissions to allow users read-only access to certain items and attributes in a table or a secondary index. Grant permissions to allow users write-only access to certain attributes in a table, based upon the identity of that user.","Using IAM Policy Conditions for Fine-Grained Access Control","",""
"DynamoDB preventative security best practices","Use a VPC endpoint and policies to access DynamoDB","If you only require access to DynamoDB from within a virtual private cloud (VPC), we recommend using a VPC endpoint to limit access from only the required VPC. Doing this prevents that traffic from traversing the open internet and being subject to that environment. Using a VPC endpoint for DynamoDB allows you to control and limit access using the following: VPC endpoint policies - These policies are applied on the DynamoDB VPC endpoint. They allow you to control and limit API access to the DynamoDB table. IAM policies - By using the aws:sourceVpce condition on policies attached to users, groups, or roles, you can enforce that all access to the DynamoDB table is through the specified VPC endpoint.","Endpoints for Amazon DynamoDB","",""
"DynamoDB preventative security best practices","Consider client-side encryption","We recommend that you plan your encryption strategy before implementing your table in DynamoDB. If you store sensitive or confidential data in DynamoDB, consider including client- side encryption in your plan. This way you can encrypt data as close as possible to its origin, and make sure that it is protected throughout its lifecycle. Encrypting your sensitive data in transit and at rest helps make sure that your plaintext data isn't available to any third party. The AWS Database Encryption SDK for DynamoDB is a software library that helps you protect your table data before you send it to DynamoDB. It encrypts, signs, verifies, and decrypts your DynamoDB table items. You control which attributes are encrypted and signed.","","",""
"DynamoDB preventative security best practices","Primary Key considerations","Do not use sensitive names or sensitive plaintext data in your Primary Key for your table and Global Secondary Indexes. Key names will show up in your table definition. For example, the Primary Key names are accessible to anyone with permissions to call DescribeTable. Key values can show up in your AWS CloudTrail and other logs. Additionally, DynamoDB uses the key values to distribute data and route requests and AWS administrators might observe the values to maintain the health of the service. If you need to use sensitive data in your table or GSI key values, we recommend using end-to- end client encryption. With end-to-end client encryption, you can perform key-value references to your data while making sure that it never appears unencrypted in your DynamoDB related logs. One way to accomplish this is to use the AWS Database Encryption SDK for DynamoDB, but that is not required. If you use your own solution, always use a sufficiently secure encryption algorithm. You must not use a non-cryptographic option like a hash, as they are not considered sufficiently secure in most situations. If your Primary Key key names are sensitive, we recommend using `pk` and `sk` instead. This is a general best practice which leaves your Partition Key design flexible. Always consult your security experts or AWS account team if you are concerned about what the right choice would be.","","",""
"DynamoDB detective security best practices","Use AWS CloudTrail to monitor AWS managed KMS key usage","If you are using an AWS managed key for encryption at rest, usage of this key is logged into AWS CloudTrail. CloudTrail provides visibility into user activity by recording actions taken on your account. CloudTrail records important information about each action, including who made the request, the services used, the actions performed, parameters for the actions, and the response elements returned by the AWS service. This information helps you track changes made to your AWS resources and troubleshoot operational issues. CloudTrail makes it easier to ensure compliance with internal policies and regulatory standards. You can use CloudTrail to audit key usage. CloudTrail creates log files that contain a history of AWS API calls and related events for your account. These log files include all AWS KMS API requests made using the AWS Management Console, AWS SDKs, and command line tools, in addition to those made through integrated AWS services. You can use these log files to get information about when the KMS key was used, the operation that was requested, the identity of the requester, the IP address that the request came from, and so on.","Logging AWS KMS API Calls with AWS CloudTrail and the AWS CloudTrail User Guide","",""
"DynamoDB detective security best practices","Monitor DynamoDB operations using CloudTrail","CloudTrail can monitor both control plane events and data plane events. Control plane operations let you create and manage DynamoDB tables. They also let you work with indexes, streams, and other objects that are dependent on tables. Data plane operations let you perform create, read, update, and delete (also called CRUD) actions on data in a table. Some data plane operations also let you read data from a secondary index. To enable logging of data plane events in CloudTrail, you must enable logging of data plane API activity in CloudTrail. See Logging data events for trails for more information. When activity occurs in DynamoDB, that activity is recorded in a CloudTrail event along with other AWS service events in the event history. You can view, search, and download recent events in your AWS account. For more information, see Viewing Events with CloudTrail Event History in the AWS CloudTrail User Guide. For an ongoing record of events in your AWS account, including events for DynamoDB, create a trail. A trail enables CloudTrail to deliver log files to an Amazon Simple Storage Service (Amazon S3) bucket. By default, when you create a trail on the console, the trail applies to all AWS Regions. The trail logs events from all Regions in the AWS partition and delivers the log files to the S3 bucket that you specify. Additionally, you can configure other AWS services to further analyze and act upon the event data collected in CloudTrail logs.","Logging DynamoDB Operations by Using AWS CloudTrail","",""
"DynamoDB detective security best practices","Use DynamoDB Streams to monitor data plane operations","DynamoDB is integrated with AWS Lambda so that you can create triggers--pieces of code that automatically respond to events in DynamoDB Streams. With triggers, you can build applications that react to data modifications in DynamoDB tables. If you enable DynamoDB Streams on a table, you can associate the stream Amazon Resource Name (ARN) with a Lambda function that you write. Immediately after an item in the table is modified, a new record appears in the table's stream. AWS Lambda polls the stream and invokes your Lambda function synchronously when it detects new stream records. The Lambda function can perform any actions that you specify, such as sending a notification or initiating a workflow. This example receives a DynamoDB event input, processes the messages that it contains, and writes some of the incoming event data to Amazon CloudWatch Logs.","Tutorial: Using AWS Lambda with Amazon DynamoDB Streams","",""
