"Group","ID","Item","Guidance","Done","Notes"
"CONFIGURING SSL AND TLS FOR RED HAT QUAY > CREATING A CERTIFICATE AUTHORITY","1.2.1","Configuring custom SSL/TLS certificates by using the command line interface","To enable custom SSL/TLS certificates on your Red Hat Quay deployment, you can copy certificate files to your configuration directory and update the config.yaml file to use HTTPS. You can then restart the registry container to apply the SSL/TLS configuration. ¶ You have created a certificate authority and signed the certificate. ¶ 1. Copy the certificate file and primary key file to your configuration directory, ensuring they are named ssl.cert and ssl.key respectively: ¶ cp ~/ssl.cert ~/ssl.key /path/to/configuration_directory ¶ 2. Navigate to the configuration directory by entering the following command: ¶ $ cd /path/to/configuration_directory ¶ 3. Edit the config.yaml file and specify that you want Red Hat Quay to handle SSL/TLS: Example config.yaml file ¶ SERVER_HOSTNAME: <quay-server.example.com> ... PREFERRED_URL_SCHEME: https ¶ 4. Optional: Append the contents of the rootCA.pem file to the end of the ssl.cert file by entering the following command: ¶ $ cat rootCA.pem >> ssl.cert ¶ 5. Stop the Quay container by entering the following command: ¶ $ sudo podman stop <quay_container_name> ¶ 6. Restart the registry by entering the following command: ¶ $ sudo podman run -d --rm -p 80:8080 -p 443:8443 \ -name=quay \ v $QUAY/config:/conf/stack:Z \ v $QUAY/storage:/datastorage:Z \ registry.redhat.io/quay/quay-rhel9:v3.18.0","",""
"CONFIGURING SSL AND TLS FOR RED HAT QUAY > CREATING A CERTIFICATE AUTHORITY","1.2.2","Configuring Podman to trust the Certificate Authority","To configure Podman to trust your self-signed certificate authority for Red Hat Quay, you can copy the root CA to the hostname-specific certificate directory under /etc/containers/certs.d/ or /etc/docker/certs.d/. You can verify the setup by logging in to your registry without the --tls- verify=false option. ¶ 1. Copy the root CA file to one of /etc/containers/certs.d/ or /etc/docker/certs.d/. Use the exact path determined by the server hostname, and name the file ca.crt: ¶ $ sudo cp rootCA.pem /etc/containers/certs.d/quay-server.example.com/ca.crt ¶ 2. Verify that you no longer need to use the --tls-verify=false option when logging in to your Red Hat Quay registry: ¶ $ sudo podman login quay-server.example.com ¶ Login Succeeded!","",""
"CONFIGURING SSL AND TLS FOR RED HAT QUAY > CREATING A CERTIFICATE AUTHORITY","1.2.3","Configuring the system to trust the certificate authority","To trust your self-signed certificate authority, you can add the root CA to the system-wide trust store and update certificate configuration. You can verify trust with the trust list command before browsing your Red Hat Quay registry over HTTPS. ¶ 1. Enter the following command to copy the rootCA.pem file to the consolidated system-wide trust store: $ sudo cp rootCA.pem /etc/pki/ca-trust/source/anchors/ ¶ 2. Enter the following command to update the system-wide trust store configuration: $ sudo update-ca-trust extract ¶ 3. Optional. You can use the trust list command to ensure that the Quay server has been configured: $ trust list | grep quay label: quay-server.example.com Now, when you browse to the registry at https://quay-server.example.com, the lock icon shows that the connection is secure: ¶ 4. To remove the rootCA.pem file from system-wide trust, delete the file and update the configuration: $ sudo rm /etc/pki/ca-trust/source/anchors/rootCA.pem $ sudo update-ca-trust extract ¶ $ trust list | grep quay ¶ Additional resources ¶ Using shared system certificates ¶ 1.3. CONFIGURING CUSTOM SSL/TLS CERTIFICATES FOR RED HAT QUAY ON OPENSHIFT CONTAINER PLATFORM ¶ When you deploy Red Hat Quay on OpenShift Container Platform, the Operator can use OpenShift Container Platform Certificate Authority certificates or custom SSL/TLS certificates in the config bundle. You can configure custom certificates before or after initial deployment by updating the configBundleSecret and setting the tls component to unmanaged. ¶ When Red Hat Quay is deployed on OpenShift Container Platform, the tls component of the QuayRegistry custom resource definition (CRD) is set to managed by default. As a result, OpenShift Container Platform's Certificate Authority is used to create HTTPS endpoints and to rotate SSL/TLS certificates. ¶ You can configure custom SSL/TLS certificates before or after the initial deployment of Red Hat Quay on OpenShift Container Platform. This process involves creating or updating the configBundleSecret resource within the QuayRegistry YAML file to integrate your custom certificates and setting the tls component to unmanaged. ¶ IMPORTANT ¶ When configuring custom SSL/TLS certificates for Red Hat Quay, administrators are responsible for certificate rotation. ¶ The following procedures enable you to apply custom SSL/TLS certificates to ensure secure communication and meet specific security requirements for your Red Hat Quay on OpenShift Container Platform deployment. These steps assumed you have already created a Certificate Authority (CA) bundle or an ssl.key, and an ssl.cert. The procedure then shows you how to integrate those files into your Red Hat Quay on OpenShift Container Platform deployment, which ensures that your registry operates with the specified security settings and conforms to your organization's SSL/TLS policies. ¶ NOTE ¶ The following procedure is used for securing Red Hat Quay with an HTTPS certificate. Note that this differs from managing Certificate Authority Trust Bundles. CA Trust Bundles are used by system processes within the Quay container to verify certificates against trusted CAs, and ensure that services like LDAP, storage backend, and OIDC connections are trusted. ¶ If you are adding the certificates to an existing deployment, you must include the existing config.yaml file in the new config bundle secret, even if you are not making any configuration changes. ¶ Additional resources ¶ Referencing an external TLS Secret for Red Hat Quay on OpenShift Container Platform ¶ 1.4. OPENSHIFT CONTAINER PLATFORM CLUSTER TLS SECURITY PROFILE INHERITANCE ¶ When you deploy Red Hat Quay on OpenShift Container Platform, the Red Hat Quay Operator can read the cluster-wide tlsSecurityProfile from the OpenShift Container Platform APIServer cluster resource and apply the corresponding SSL_PROTOCOLS and SSL_CIPHERS settings to the registry and mirror workers. This aligns Red Hat Quay with the platform TLS policy without manual configuration.","",""
"CONFIGURING SSL AND TLS FOR RED HAT QUAY > CREATING A CERTIFICATE AUTHORITY","1.4.1","How TLS profile inheritance works","The Operator reads spec.tlsSecurityProfile from the APIServer cluster resource and translates the profile into Red Hat Quay SSL_PROTOCOLS and SSL_CIPHERS values in the generated config.yaml. Supported profile types are Old, Intermediate, Modern, and Custom. If the cluster has no profile set, the Operator defaults to the Intermediate profile (TLS 1.2 and TLS 1.3). ¶ To fully override cluster-profile inheritance, set both SSL_PROTOCOLS and SSL_CIPHERS in the configBundleSecret. Setting either field disables inheritance for both fields. On Kubernetes clusters without the config.openshift.io API, the Operator does not inject TLS settings and Red Hat Quay uses its built-in defaults.","",""
"CONFIGURING SSL AND TLS FOR RED HAT QUAY > CREATING A CERTIFICATE AUTHORITY","1.4.2","Managed TLS and unmanaged TLS","How the cluster TLS security profile applies depends on whether the Operator or Red Hat Quay terminates TLS: ¶ When the tls component is set to managed, the OpenShift Container Platform Route enforces the cluster TLS profile. No additional TLS protocol or cipher configuration is required in the config bundle. ¶ When the tls component is set to unmanaged, Red Hat Quay terminates TLS directly. When neither SSL_PROTOCOLS nor SSL_CIPHERS is set in the config bundle, Red Hat Quay inherits the cluster TLS security profile. ¶ Additional resources ¶ Configuring custom SSL/TLS certificates for Red Hat Quay on OpenShift Container Platform ¶ 1.5. PRESERVING TLS SETTINGS BEFORE UPGRADING RED HAT QUAY ON OPENSHIFT CONTAINER PLATFORM ¶ Starting with Red Hat Quay 3.18, the Red Hat Quay Operator inherits the cluster-wide TLS security profile from the OpenShift APIServer configuration when neither SSL_PROTOCOLS nor SSL_CIPHERS is set in the configBundleSecret resource. Before upgrading to 3.18, review your cluster profile and, if needed, set both fields explicitly to preserve your current TLS behavior. ¶ When the tls component is set to managed, the OpenShift Route already enforces the cluster TLS profile and no action is required. When the tls component is set to unmanaged, Red Hat Quay terminates TLS directly and inherits the cluster profile after upgrade unless you override it in the config bundle. If you use unmanaged TLS and have already set both SSL_PROTOCOLS and SSL_CIPHERS in the config bundle, no additional TLS configuration is required before upgrading. Setting only one of these fields disables cluster-profile inheritance for both fields. ¶ You have cluster administrator access to review the OpenShift Container Platform APIServer configuration. ¶ You can edit the configBundleSecret referenced by your QuayRegistry custom resource (CR). ¶ 1. Review the cluster TLS security profile: ¶ $ oc get apiserver cluster -o jsonpath='{.spec.tlsSecurityProfile}{""\n""}' ¶ 2. If you must preserve your current TLS settings, add SSL_PROTOCOLS and SSL_CIPHERS to the config.yaml file in your configBundleSecret before upgrading. For example: ¶ SSL_PROTOCOLS: ¶ TLSv1.2 TLSv1.3 SSL_CIPHERS: ECDHE-RSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-GCM-SHA384 # Add other required ciphers ¶ NOTE ¶ Include every cipher suite your clients require. To fully override cluster-profile inheritance, set both SSL_PROTOCOLS and SSL_CIPHERS. Setting either field disables inheritance for both fields. ¶ 3. Update the configBundleSecret with the modified config.yaml file. You can edit the secret in the OpenShift Container Platform web console or recreate it from a local file. For example: ¶ $ oc create secret generic <config_bundle_secret_name> \ -from-file config.yaml=./config.yaml \ -dry-run=client -o yaml | oc apply -f - ¶ For more information, see Modifying the configuration file by using the OpenShift Container Platform web console and Overriding the cluster TLS security profile . ¶ 4. Proceed with the Red Hat Quay Operator upgrade. If the cluster TLS profile is acceptable and neither SSL_PROTOCOLS nor SSL_CIPHERS is set, no additional TLS configuration is required. ¶ Additional resources ¶ SSL/TLS configuration fields ¶ OpenShift Container Platform cluster TLS security profile inheritance","",""
"CONFIGURING SSL AND TLS FOR RED HAT QUAY > CREATING A CERTIFICATE AUTHORITY > Creating a custom SSL/TLS configBundleSecret resource","1.5.2.1","Using cert-manager with an external TLS Secret","You can install cert-manager on your cluster, issue a certificate into a kubernetes.io/tls Secret, and reference that Secret from the tls component of your QuayRegistry CR. When cert-manager renews the certificate, the Red Hat Quay Operator detects the updated Secret and rolls out updated pods. ¶ You have installed cert-manager on the cluster. For more information, see the cert-manager documentation. ¶ You have a ClusterIssuer or Issuer that can issue certificates for your registry hostname. ¶ You know the hostname clients use to reach the registry. After deployment, this hostname is often available in status.registryEndpoint on the QuayRegistry CR. ¶ 1. Create a ClusterIssuer CR, for example a self-signed issuer for testing: ¶ apiVersion: cert-manager.io/v1 kind: ClusterIssuer metadata: ¶ name: selfsigned-issuer spec: ¶ selfSigned: {} ¶ 2. Create a Certificate CR that writes to the Secret referenced by your QuayRegistry secretRef. Set dnsNames to the registry route hostname, for example the host in status.registryEndpoint: ¶ apiVersion: cert-manager.io/v1 kind: Certificate ¶ metadata: name: quay-tls namespace: <namespace> ¶ spec: secretName: quay-tls duration: 2160h renewBefore: 360h issuerRef: name: selfsigned-issuer kind: ClusterIssuer dnsNames: <quay_route_hostname> ¶ 3. Configure the QuayRegistry CR to reference the Secret. For example: ¶ apiVersion: quay.redhat.com/v1 kind: QuayRegistry metadata: ¶ name: <registry_name> namespace: <namespace> spec: components: kind: tls ¶ managed: false secretRef: ¶ name: quay-tls ¶ 4. Wait for cert-manager to populate the TLS Secret. Then, confirm that the Operator has reconciled the registry by running the following command: ¶ $ oc wait quayregistry <registry_name> -n <namespace> -- for=condition=ComponentTLSReady=True --timeout=300s ¶ 5. Optional. Force certificate renewal to verify that rotation triggers a rollout. This requires the cert-manager command-line plugin: ¶ $ oc cert-manager renew quay-tls -n <namespace> ¶ After renewal, wait again for ComponentTLSReady=True and confirm that Red Hat Quay pods were replaced. ¶ 6. Optional. Delete the TLS Secret by running the following command: ¶ $ oc delete secret quay-tls -n <namespace>","",""
"CERTIFICATE-BASED AUTHENTICATION BETWEEN RED HAT QUAY AND SQL > TLS ENCRYPTION FOR OPERATOR-MANAGED POSTGRESQL","2.1.1","Certificate options","Option Description ¶ OpenShift Container Platform Service CA When you set overrides.tls.enabled: true without a (default on OpenShift Container secretRef, the Operator uses the OpenShift Container Platform) Platform Service CA on clusters that support Routes. The Operator annotates the PostgreSQL Service with service.beta.openshift.io/serving-cert-secret-name and mounts the generated serving certificate. ¶ Operator-generated self-signed On Kubernetes clusters without the OpenShift Container certificates Platform Service CA, the Operator generates ECDSA P-256 certificates with a 10-year validity period when no secretRef is provided. ¶ Option Description ¶ User-provided or cert-manager Reference a Secret containing ca.crt, tls.crt, and tls.key by certificates using overrides.tls.secretRef.name. This format is compatible with cert-manager output. When the referenced Secret changes, the Operator reconciles the deployment. ¶ NOTE ¶ This feature does not provide mutual TLS (mTLS) or automatic certificate rotation. To integrate with enterprise PKI or automate rotation, use secretRef with cert-manager or your own certificate management process. ¶ Additional resources ¶ cert-manager Operator for Red Hat OpenShift","",""
"CERTIFICATE-BASED AUTHENTICATION BETWEEN RED HAT QUAY AND SQL > TLS ENCRYPTION FOR OPERATOR-MANAGED POSTGRESQL","2.1.2","Enabling TLS for Operator-managed PostgreSQL","To encrypt database traffic for Operator-managed PostgreSQL used by Red Hat Quay and Clair, you can set overrides.tls.enabled: true on the postgres and clairpostgres components in the QuayRegistry custom resource. ¶ The postgres and/or clairpostgres components that you want to protect are set to managed: true. ¶ You have access to edit the QuayRegistry custom resource in your registry namespace. ¶ 1. Edit your QuayRegistry custom resource. For example: ¶ $ oc edit quayregistry <registry_name> -n <namespace> ¶ 2. Under spec.components, add overrides.tls.enabled: true to the managed PostgreSQL components. For example: ¶ spec: components: kind: postgres managed: true overrides: tls: enabled: true kind: clairpostgres managed: true overrides: tls: enabled: true ¶ 3. Save the changes and wait for the Operator to reconcile the registry. ¶ NOTE On OpenShift Container Platform, the Operator might briefly report RolloutBlocked while it waits for the Service CA to create the serving certificate Secret. Reconciliation retries until the Secret is available. ¶ 4. Verify that PostgreSQL has SSL enabled: ¶ $ oc exec -n <namespace> deploy/<registry_name>-quay-database -c postgres -- \ bash -lc 'psql -U ""$POSTGRESQL_USER"" -d ""$POSTGRESQL_DATABASE"" -tAc ""SHOW ¶ ssl;""' ¶ The command should return on. For Clair, run the same check against the Clair PostgreSQL deployment when that component is managed. ¶ 5. Verify that the QuayRegistry status shows a healthy deployment and that RolloutBlocked is not stuck in an error state. ¶ 6. Optional: Confirm client TLS sessions with the following command: ¶ $ oc exec -n <namespace> deploy/<registry_name>-quay-database -c postgres -- \ bash -lc 'psql -U ""$POSTGRESQL_USER"" -d ""$POSTGRESQL_DATABASE"" -tAc ¶ ""SELECT count(*) FROM pg_stat_ssl s JOIN pg_stat_activity a ON s.pid = a.pid WHERE s.ssl = true AND a.client_addr IS NOT NULL;""' ¶ A count greater than 0 indicates active TLS client connections. If the count remains 0, PostgreSQL still has TLS enabled on the server, but clients might not yet be connecting with SSL. Check the registry database URI or connection arguments for an sslmode value such as verify-full, and review Operator Events for certificate or CA errors.","",""
"CERTIFICATE-BASED AUTHENTICATION BETWEEN RED HAT QUAY AND SQL > TLS ENCRYPTION FOR OPERATOR-MANAGED POSTGRESQL","2.1.3","Providing custom TLS certificates","To use your own certificates instead of Operator-generated or Service CA certificates, create a Secret and reference it from the component override. ¶ TLS is enabled on the target component (overrides.tls.enabled: true). ¶ You have a Secret containing PEM-encoded ca.crt, tls.crt, and tls.key entries. ¶ Your TLS certificate includes Subject Alternative Name (SAN) entries that match the PostgreSQL Service DNS names. For the postgres component, include the following names: ¶ <registry_name>-quay-database <registry_name>-quay-database.<namespace> <registry_name>-quay-database.<namespace>.svc <registry_name>-quay-database.<namespace>.svc.cluster.local localhost ¶ For the clairpostgres component, include the following names: ¶ <registry_name>-clair-postgres <registry_name>-clair-postgres.<namespace> <registry_name>-clair-postgres.<namespace>.svc <registry_name>-clair-postgres.<namespace>.svc.cluster.local localhost ¶ 1. Create a Secret in the same namespace as your QuayRegistry custom resource. For example: ¶ apiVersion: v1 kind: Secret metadata: ¶ name: <postgres_or_clairpostgres_name>-tls namespace: <namespace> type: Opaque stringData: ca.crt: | ¶ ----BEGIN CERTIFICATE----- ... ----END CERTIFICATE----- tls.crt: | ----BEGIN CERTIFICATE----- ... ----END CERTIFICATE----- tls.key: | ----BEGIN EC PRIVATE KEY----- ... ----END EC PRIVATE KEY----- ¶ 2. Reference the Secret from the PostgreSQL component override: ¶ kind: postgres managed: true overrides: tls: enabled: true secretRef: name: <postgres_or_clairpostgres_name>-tls ¶ 3. Save the QuayRegistry and wait for reconciliation. ¶ Verification ¶ 1. Connect to the Red Hat Quay PostgreSQL pod and check that SSL is enabled: ¶ $ oc exec -n <namespace> deploy/<registry>-quay-database -c postgres -- bash -lc 'psql -U ""$POSTGRESQL_USER"" -d ""$POSTGRESQL_DATABASE"" -tAc ""SHOW ssl;""' ¶ The command should return on. ¶ 2. Optional: Confirm that client connections use SSL: ¶ $ oc exec -n <namespace> deploy/<registry_name>-quay-database -c postgres -- \ ¶ bash -lc 'psql -U ""$POSTGRESQL_USER"" -d ""$POSTGRESQL_DATABASE"" -tAc ""SELECT count(*) FROM pg_stat_ssl s JOIN pg_stat_activity a ON s.pid = a.pid WHERE s.ssl = true AND a.client_addr IS NOT NULL;""' ¶ A count greater than 0 indicates active TLS client connections. If the count remains 0, PostgreSQL still has TLS enabled on the server, but clients might not yet be connecting with SSL. Check the registry database URI or connection arguments for an sslmode value such as verify-full, and review Operator Events for certificate or CA errors.","",""
"CERTIFICATE-BASED AUTHENTICATION BETWEEN RED HAT QUAY AND SQL > TLS ENCRYPTION FOR OPERATOR-MANAGED POSTGRESQL","2.1.4","Disabling TLS","You can disable TLS on an existing deployment without data loss by removing or setting overrides.tls.enabled to false on the affected components. The Operator removes TLS configuration from PostgreSQL and restores unencrypted connection strings. ¶ 1. Edit the QuayRegistry custom resource. ¶ 2. Set overrides.tls.enabled: false or remove the overrides.tls block from the postgres and/or clairpostgres components. ¶ 3. Save the changes and wait for the Operator to reconcile the registry.","",""
