"Group","Practice","Guidance","Reference","Done","Notes"
"High-level security best practices","Least access","Grant access only to systems and locations that are trusted and expected. This applies to all Microsoft products such as Active Directory, Microsoft business productivity servers, and infrastructure services such as Remote Desktop Services, reverse proxy servers, IIS web servers,and more. Use AWS capabilities such as Amazon EC2 instance security groups, network access control lists (ACLs), and Amazon VPC public/private subnets to layer security across multiple locations in an architecture. Within a Windows instance, customers can use Windows Firewall to further layer a defense-in-depth strategy within their deployment. Install only the OS components and applications that are necessary for the system to function as designed. Configure infrastructure services such as IIS to run under service accounts, or to use features such as application pool identities to access resources locally and remotely across your infrastructure.","","",""
"High-level security best practices","Least privilege","Determine the minimum set of privileges that instances and accounts need to perform their functions. Restrict these servers and users to only allow these defined permissions. Use techniques such as Role Based Access Controls to reduce the surface area of administrative accounts, and create the most limited roles to accomplish a task. Use OS features such as Encrypting File System (EFS) within NTFS to encrypt sensitive data at rest, and control application and user access to it.","","",""
"High-level security best practices","Configuration management","Create a baseline server configuration that incorporates up-to- date security patches and host-based protection suites that include anti-virus, anti-malware, intrusion detection/prevention, and file integrity monitoring. Assess each server against the current recorded baseline to identify and flag any deviations. Ensure each server is configured to generate and securely store appropriate log and audit data.","","",""
"High-level security best practices","Change management","Create processes to control changes to server configuration baselines and work toward fully automated change processes. Also, leverage Just Enough Administration (JEA) with Windows PowerShell DSC to limit administrative access to the minimum required functions.","","",""
"High-level security best practices","Patch management","Implement processes that regularly patch, update, and secure the operating system and applications on your EC2 instances.","","",""
"High-level security best practices","Audit logs","Audit access and all changes to Amazon EC2 instances to verify server integrity and ensure only authorized changes are made. Leverage features such as Enhanced Logging for IIS to enhance default logging capabilities. AWS capabilities such as VPC Flow Logs and AWS CloudTrail are also available to audit network access, including allowed/denied requests and API calls, respectively.","","",""
"Update management","Configure Windows Update","By default, instances that are launched from AWS Windows Server AMIs don't receive updates through Windows Update.","","",""
"Update management","Update Windows drivers","Maintain the latest drivers on all Windows EC2 instances to ensure that the latest issue fixes and performance enhancements are applied across your fleet. Depending on your instance type, you should update the AWS PV, Amazon ENA, and AWS NVMe drivers. Use SNS topics to receive updates for new driver releases. Use the AWS Systems Manager Automation runbook AWSSupport-UpgradeWindowsAWSDrivers to easily apply the updates across your instances.","","",""
"Update management","Launch instances using the latest Windows AMIs","AWS releases new Windows AMIs each month, which contain the latest OS patches, drivers, and launch agents. You should leverage the latest AMI when you launch new instances or when you build your own custom images. To view updates to each release of the AWS Windows AMIs, see AWS Windows AMI version history. To build with the latest available AMIs, see Query for the Latest Windows AMI Using Systems Manager Parameter Store.","Specialized Windows AMIs in the AWS Windows AMI Reference","",""
"Update management","Test system/application performance before migration","Migrating enterprise applications to AWS can involve many variables and configurations. Always performance test the EC2 solution to ensure that: Instance types are properly configured, including instance size, enhanced networking, and tenancy (shared or dedicated). Instance topology is appropriate for the workload and leverages high-performance features when necessary, such as dedicated tenancy, placement groups, instance store volumes, and bare metal.","","",""
"Update management","Install the latest version of EC2Launch v2","Install the latest EC2Launch v2 agent to ensure that the latest enhancements are applied across your fleet. If you have a mixed fleet, or if you want to continue to use the EC2Launch (Windows Server 2016 and 2019) or EC2 Config (legacy OS only) agents, update to the latest versions of the respective agents. Automatic updates are supported on the following combinations of Windows Server version and launch agents. You can opt in to automatic updates in the SSM Quick Setup Host Management console under Amazon EC2 Launch Agents. Windows Version EC2Launch v1 EC2Launch v2 2016 2019 2022 For more information about updating to EC2Launch v2, see the section called ""Install EC2Launch v2"". For information to manually update EC2Config, see the section called ""Install EC2Config"". For information to manually update EC2Launch, see the section called ""Install EC2Launch"".","Install EC2Launch v2","",""
"Audit and accountability for Amazon EC2 Windows instances","Amazon EC2 key pairs and Amazon EC2 instances","A key pair, consisting of a public key and a private key, is a set of security credentials that you use to prove your identity when connecting to an Amazon EC2 instance. For Linux instances, the private key allows you to securely SSH into your instance. For Windows instances, the private key is required to decrypt the administrator password, which you then use to connect to your instance. Amazon EC2 stores the public key on your instance, and you store the private key, as shown in the following diagram. It's important that you store your private key in a secure place because anyone who possesses your private key can connect to your instances that use the key pair. When you launch an instance, you can specify a key pair, so that you can connect to your instance using a method that requires a key pair. Depending on how you manage your security, you can specify the same key pair for all your instances or you can specify different key pairs. For Linux instances, when your instance boots for the first time, the public key that you specified at launch is placed on your Linux instance in an entry within ~/.ssh/authorized_keys. When you connect to your Linux instance using SSH, to log in you must specify the private key that corresponds to the public key.","Connect to your EC2 instance","",""
