"Group","ID","Item","Guidance","Done","Notes"
"INTRODUCTION TO HARDENING ANSIBLE AUTOMATION PLATFORM","1.1","AUDIENCE","This guide is written for personnel responsible for installing, configuring, and maintaining Ansible Automation Platform 2.5 when deployed on Red Hat Enterprise Linux. Additional information is provided for security operations, compliance assessment, and other functions associated with related security processes.","",""
"INTRODUCTION TO HARDENING ANSIBLE AUTOMATION PLATFORM > OVERVIEW OF ANSIBLE AUTOMATION PLATFORM","1.2.1","Red Hat Ansible Automation Platform deployment methods","There are three different installation methods for Ansible Automation Platform: RPM-based on Red Hat Enterprise Linux Container-based on Red Hat Enterprise Linux Operator-based on Red Hat OpenShift Container Platform ¶ This document offers guidance on hardening Ansible Automation Platform when installed using either of the first two installation methods (RPM-based or container-based). This document further recommends using the container-based installation method for new deployments, as the RPM-based installation program has now been deprecated. For further information, see Deprecated features. Operator-based deployments are not described in this document.","",""
"INTRODUCTION TO HARDENING ANSIBLE AUTOMATION PLATFORM > OVERVIEW OF ANSIBLE AUTOMATION PLATFORM","1.2.2","Ansible Automation Platform components","Ansible Automation Platform is a modular platform composed of separate components that can be connected together, including automation controller, platform gateway, automation hub, and Event- Driven Ansible controller. Additional resources ¶ Red Hat Ansible Automation Platform components ¶ This guide takes a practical approach to hardening the Ansible Automation Platform security posture, starting with the planning and architecture phase of deployment and then covering specific guidance for the installation phase. As this guide specifically covers Ansible Automation Platform running on Red Hat Enterprise Linux, hardening guidance for Red Hat Enterprise Linux is covered where it affects the automation platform components.","",""
"INTRODUCTION TO HARDENING ANSIBLE AUTOMATION PLATFORM > PLANNING CONSIDERATIONS","2.1.1","Ansible Automation Platform deployment topologies","Install Ansible Automation Platform 2.5 based on one of the documented tested deployment reference architectures defined in Tested deployment models . Enterprise organizations should use one of the enterprise reference architectures for production deployments to ensure the highest level of uptime, performance, and continued scalability. Organizations or deployments that are resource constrained can use a ""growth"" reference architecture. Review the Tested deployment models document to determine the reference architecture that best suits your requirements. The reference architecture chosen will include planning information such as an architecture diagram, the number of Red Hat Enterprise Linux servers required, the network ports and protocols used by the deployment, and load balancer information for enterprise architectures. ¶ It is possible to install Ansible Automation Platform on different infrastructure reference architectures and with different environment configurations. Red Hat does not fully test architectures outside of published reference architectures. Red Hat recommends using a tested reference architecture for all new deployments and provides commercially reasonable support for deployments that meet minimum requirements. ¶ The following diagram is a tested container enterprise architecture: ¶ When planning firewall or cloud network security group configurations related to Ansible Automation Platform, see the ""Network Ports"" section of your chosen topology in Tested deployment models to understand what network ports need to be opened on a firewall or security group. For internet-connected systems, the Networks and Protocols section of Planning your installation defines the outgoing traffic requirements for services that Ansible Automation Platform can be configured to use, such as Red Hat automation hub, Insights for Ansible Automation Platform, Ansible Galaxy, the registry.redhat.io container image registry, and so on. Restrict access to the ports used by the Ansible Automation Platform components to protected networks and clients. The following restrictions are highly recommended: ¶ Restrict the PostgreSQL database port (5432) on the database servers so that only the other Ansible Automation Platform component servers (automation controller, automation hub, Event-Driven Ansible controller) are permitted access. Restrict SSH access to the Ansible Automation Platform servers from the installation host and other trusted systems used for maintenance access to the Ansible Automation Platform servers. Restrict HTTPS access to the automation controller, automation hub, and Event-Driven Ansible controller from trusted networks and clients.","",""
"INTRODUCTION TO HARDENING ANSIBLE AUTOMATION PLATFORM > PLANNING CONSIDERATIONS > DNS, NTP, and service planning","2.1.2.1","DNS","When installing Ansible Automation Platform, the installation program script checks that certain infrastructure servers are defined with a Fully Qualified Domain Name (FQDN) in the installer inventory. This guide recommends that all Ansible Automation Platform infrastructure nodes have a valid FQDN defined in DNS which resolves to a routable IP address, and that these FQDNs be used in the installer inventory file.","",""
"INTRODUCTION TO HARDENING ANSIBLE AUTOMATION PLATFORM > PLANNING CONSIDERATIONS > DNS, NTP, and service planning","2.1.2.2","DNS and load balancing","When using a load balancer with Ansible Automation Platform as described in the deployment topology, an additional FQDN is needed for the load-balancer. For example, an FQDN such as aap.example.com might be used for the load balancer which in turn directs traffic to each of the platform gateway components defined in the installation inventory.","",""
"INTRODUCTION TO HARDENING ANSIBLE AUTOMATION PLATFORM > PLANNING CONSIDERATIONS > DNS, NTP, and service planning","2.1.2.3","NTP","Configure each server in the Ansible Automation Platform infrastructure to synchronize time with an Network Time Protocol (NTP) pool or your organization's NTP service. This ensures that logging and auditing events generated by Ansible Automation Platform have an accurate time stamp, and that any scheduled jobs running from the automation controller execute at the correct time. This also enables communication between the systems within Ansible Automation Platform to not reject messages based on timeouts. ¶ For information on configuring the chrony service for NTP synchronization, see Using Chrony in the Red Hat Enterprise Linux documentation.","",""
"INTRODUCTION TO HARDENING ANSIBLE AUTOMATION PLATFORM > PLANNING CONSIDERATIONS > Credential management planning for Ansible Automation Platform","2.1.3.1","Ansible Automation Platform operational secrets","Ansible Automation Platform uses several secrets (passwords, keys, and so on) operationally. These secrets are stored unencrypted on the various Ansible Automation Platform servers, as each component service must read them at startup. All files are protected by Unix permissions, and restricted to the root user or the appropriate service account user. These files should be routinely monitored to ensure there has been no unauthorized access or modification. ¶ 2.1.3.1.1. RPM-based installation secrets The following table provides the location of these secrets for RPM-based installs of Ansible Automation Platform. ¶ Automation controller secrets ¶ File path Description /etc/tower/SECRET_KEY A secret key used for encrypting automation secrets /etc/tower/tower.cert in the database. If the SECRET_KEY changes or is /etc/tower/tower.key unknown, no encrypted fields in the database will be accessible. /etc/tower/conf.d/postgres.py /etc/tower/conf.d/channels.py SSL certificate and key for the automation controller /etc/tower/conf.d/gateway.py web service. ¶ A self-signed cert/key is installed by default; you can provide a locally appropriate certificate and key. ¶ For more information, see Installing with user- provided PKI certificates. ¶ Contains the password used by automation controller to connect to the database, unless TLS authentication is used for the database connection. ¶ Contains the secret used by automation controller for websocket broadcasts. ¶ Contains the key used by automation controller to sync state with the platform gateway. ¶ Platform gateway secrets ¶ File path Description ¶ /etc/ansible-automation- A secret key used for encrypting automation secrets platform/gateway/SECRET_KEY in the database. If the SECRET_KEY changes or is unknown, the platform gateway cannot access the /etc/ansible-automation- encrypted secrets in the database. platform/gateway/gateway.cert SSL certificate for the platform gateway web service. /etc/ansible-automation- platform/gateway/gateway.key A self-signed certificate is installed by default, although a user-provided certificate and key pair can /etc/ansible-automation- be used. platform/gateway/cache.cert /etc/ansible-automation- For more information, see Installing with user- platform/gateway/cache.key provided PKI certificates. /etc/ansible-automation- platform/gateway/settings.py SSL key for the platform gateway web service. ¶ Automation hub secrets A self-signed certificate is installed by default, File path although a user-provided certificate and key pair can /etc/pulp/settings.py be used. ¶ /etc/pulp/certs/token_public_key.pem For more information, see Installing with user- provided PKI certificates. ¶ SSL certificate used for mutual TLS (mTLS) authentication with the Redis cache used by the platform gateway. ¶ SSL key used for mutual TLS (mTLS) authentication with the Redis cache used by the platform gateway. ¶ Contains the password used by the platform gateway to connect to the database, unless TLS authentication is used for the database connection. Also contains the password used to connect to the Redis cache used by the platform gateway. ¶ Description ¶ Contains the password used by automation hub to connect to the database, unless TLS authentication is used for the database connection. Contains the Django secret key used by the automation hub web service. ¶ OpenSSL public key in PEM format for the automation hub EE token authentication. It is generated by default from the token_private_key.pem file. ¶ /etc/pulp/certs/token_private_key.pem OpenSSL private key in PEM format for the automation hub EE token authentication. It is generated by default, although a user can provide their own private key with the pulp_token_auth_key` installation inventory variable. ¶ /etc/pulp/certs/pulp_webserver.crt SSL certificate for the automation hub web service. ¶ A self-signed certificate is installed by default, although a user-provided certificate and key pair can be used. ¶ For more information, see Installing with user- provided PKI certificates. ¶ /etc/pulp/certs/pulp_webserver.key SSL key for the automation hub web service. ¶ A self-signed certificate is installed by default, although a user-provided certificate and key pair can be used. ¶ For more information, see Installing with user- provided PKI certificates. ¶ /etc/pulp/certs/database_fields.symmetric.ke A key used for encrypting sensitive fields in the y automation hub database table. ¶ If the key changes or is unknown, automation hub cannot access the encrypted fields in the database. ¶ Event-Driven Ansible secrets ¶ File path Description ¶ /etc/ansible-automation- A secret key used for encrypting fields in the Event- platform/eda/SECRET_KEY Driven Ansible controller database table. ¶ If the SECRET_KEY changes or is unknown, the Event-Driven Ansible controller cannot access the encrypted fields in the database. ¶ /etc/ansible-automation- Contains the password used by the Event-Driven platform/eda/settings.yaml Ansible gateway to connect to the database, unless TLS authentication is used for the database connection. ¶ Contains the password used to connect to the Redis cache used by the Event-Driven Ansible controller. ¶ Contains the key used by the Event-Driven Ansible controller to sync state with the platform gateway. ¶ /etc/ansible-automation- SSL certificate for the Event-Driven Ansible platform/eda/server.cert controller web service. ¶ A self-signed certificate is installed by default, although a user-provided certificate and key pair can be used. ¶ For more information, see Installing with user- provided PKI certificates. ¶ /etc/ansible-automation- SSL key for the Event-Driven Ansible controller web platform/eda/server.key service. ¶ /etc/ansible-automation- A self-signed certificate is installed by default, platform/eda/cache.cert although a user-provided certificate and key pair can /etc/ansible-automation- be used. platform/eda/cache.key /etc/ansible-automation- For more information, see Installing with user- platform/eda/websocket.cert provided PKI certificates. ¶ /etc/ansible-automation- SSL certificate used for mutual TLS (mTLS) platform/eda/websocket.key authentication with the Redis cache used by the Event-Driven Ansible controller Redis secrets File path SSL key used for mutual TLS (mTLS) authentication with the Redis cache used by the Event-Driven 14 Ansible controller ¶ SSL certificate for the Event-Driven Ansible controller websocket endpoint. ¶ A self-signed certificate is installed by default, although a user-provided certificate and key pair can be used. ¶ For more information, see Installing with user- provided PKI certificates. ¶ SSL key for the Event-Driven Ansible controller websocket endpoint. ¶ A self-signed certificate is installed by default, although a user-provided certificate and key pair can be used. ¶ For more information, see Installing with user- provided PKI certificates. ¶ Description","",""
"HARDENING ANSIBLE AUTOMATION PLATFORM","2.1.3.1.2","Container-based installation secrets","The secrets listed for RPM-based installations are also used in container-based installations, but they are stored in a different manner. Container-based installations of Red Hat Ansible Automation Platform use Podman secrets to store operational secrets. These secrets can be listed using the podman secret list command. ¶ By default, Podman stores data in the home directory of the user who installed and runs the containerized Red Hat Ansible Automation Platform services. Podman secrets are stored in the file $HOME/.local/share/containers/storage/secrets/filedriver/secretsdata.json as base64-encoded strings, so while they are not in plain text the values are only obfuscated. ¶ The data stored in a Podman secret can be shown using the command podman secret inspect -- showsecret <secret>. ¶ This file should be routinely monitored to ensure there has been no unauthorized access or modification.","",""
"HARDENING ANSIBLE AUTOMATION PLATFORM","2.1.3.2","Automation use secrets","Automation controller stores a variety of secrets in the database that are either used for automation or are a result of automation. Automation use secrets include: ¶ All secret fields of all credential types (passwords, secret keys, authentication tokens, secret cloud credentials). ¶ Secret tokens and passwords for external services defined in automation controller settings. ¶ ""password"" type survey field entries. ¶ You can grant users and teams the ability to use these credentials without actually exposing the credential to the user. This means that if a user moves to a different team or leaves the organization, you do not have to re-key all of your systems. ¶ Automation controller uses SSH (or the Windows equivalent) to connect to remote hosts. To pass the key from automation controller to SSH, the key must be decrypted before it can be written to a named pipe. Automation controller then uses that pipe to send the key to SSH (so that it is never written to disk). If passwords are used, automation controller handles those by responding directly to the password prompt and decrypting the password before writing it to the prompt. ¶ As an administrator with superuser access, you can define a custom credential type in a standard format using a YAML/JSON-like definition, enabling the assignment of new credential types to jobs and inventory updates. This enables you to define a custom credential type that works in ways similar to existing credential types. For example, you can create a custom credential type that injects an API token for a third-party web service into an environment variable, which your playbook or custom inventory script can consume. ¶ To encrypt secret fields, Ansible Automation Platform uses the Advanced Encryption Standard (AES) in Cipher Block Chaining (CBC) mode with a 256-bit key for encryption, Public-Key cryptography Standard (PKCS7) padding, and Hash-Based Message Authentication Code (HMAC) using SHA256 for authentication. The encryption/decryption process derives the AES-256 bit encryption key from the SECRET_KEY, the field name of the model field, and the database-assigned auto-incremented record ID. Thus, if any attribute used in the key generation process changes, Ansible Automation Platform fails to correctly decrypt the secret. Ansible Automation Platform is designed such that the SECRET_KEY is never readable in playbooks Ansible Automation Platform launches. This means that these secrets are never readable by Ansible Automation Platform users, and no secret field values are ever made available through the Ansible Automation Platform REST API. If a secret value is used in a playbook, you must use no_log on the task so that it is not accidentally logged. For more information, see Protecting sensitive data with no log.","",""
