"Group","ID","Item","Guidance","Done","Notes"
"OPERATORS OVERVIEW","1.1","OLM-BASED OPERATOR TASKS","To maintain cluster security and operational boundaries, your assigned user role, such as cluster administrator or application developer, determines whether you can install, manage, or use Operator Lifecycle Manager (OLM)-based Operators. ¶ For developers As an Operator author, you can perform the following development tasks for OLM-based Operators: Install and subscribe an Operator to your namespace. ¶ Create an application from an installed Operator through the web console. ¶ For administrators As a cluster administrator, you can perform the following administrative tasks for OLM-based Operators: Manage custom catalogs. ¶ Allow non-cluster administrators to install Operators ¶ Install an Operator from the software catalog ¶ View Operator status ¶ Manage Operator conditions ¶ Upgrade installed Operators ¶ Delete installed Operators Configure proxy support Using Operator Lifecycle Manager in disconnected environments ¶ For information about the cluster Operators that Red Hat provides, see ""Cluster Operators reference"". ¶ Manage custom catalogs Machine deletion lifecycle hook examples for Operator developers Install and subscribe an Operator to your namespace Allow non-cluster administrators to install Operators Install an Operator from the software catalog Using Operator Lifecycle Manager in disconnected environments Cluster Operators reference Create an application from an installed Operator through the web console View Operator status Manage Operator conditions Upgrade installed Operators Delete installed Operators Configure proxy support What are Operators?","",""
"UNDERSTANDING OPERATORS > WHAT ARE OPERATORS?","2.1.1","Why use Operators?","Operators package operational knowledge to automate application lifecycle tasks on Kubernetes. Operators provide repeatable installs, health checks, over-the-air updates, and shared expertise encoded in software. ¶ Why deploy on Kubernetes? Kubernetes (and by extension, OpenShift Container Platform) contains all of the primitives needed to build complex distributed systems - secret handling, load balancing, service discovery, autoscaling that work across on-premise and cloud providers. ¶ Why manage your app with Kubernetes APIs andkubectl tooling? These APIs are feature rich, have clients for all platforms and plug into the cluster's access control/auditing. An Operator uses the Kubernetes extension mechanism, custom resource definitions (CRDs), so your custom object, for example MongoDB, looks and acts just like the built- in, native Kubernetes objects. ¶ How do Operators compare with service brokers? A service broker is a step towards programmatic discovery and deployment of an app. However, because it is not a long running process, it cannot execute Day 2 operations like upgrade, failover, or scaling. Customizations and parameterization of tunables are provided at install time, versus an Operator that is constantly watching the current state of your cluster. Off-cluster services are a good match for a service broker, although Operators exist for these as well.","",""
"UNDERSTANDING OPERATORS > WHAT ARE OPERATORS?","2.1.2","Operator Framework","The Operator Framework is a set of open source tools for building, testing, delivering, and updating Operators. It includes Operator Lifecycle Manager (OLM), the Operator Registry, and the software catalog. ¶ Operator Lifecycle Manager Operator Lifecycle Manager (OLM) controls the installation, upgrade, and role-based access control (RBAC) of Operators in a cluster. It is deployed by default in OpenShift Container Platform 4.21. ¶ Operator Registry ¶ The Operator Registry stores cluster service versions (CSVs) and custom resource definitions ¶ The Operator Registry stores cluster service versions (CSVs) and custom resource definitions (CRDs) for creation in a cluster and stores Operator metadata about packages and channels. It runs in a Kubernetes or OpenShift cluster to provide this Operator catalog data to OLM. ¶ Software Catalog The software catalog is a web console for cluster administrators to discover and select Operators to install on their cluster. It is deployed by default in OpenShift Container Platform. ¶ These tools are designed to be composable, so you can use any that are useful to you.","",""
"UNDERSTANDING OPERATORS > WHAT ARE OPERATORS?","2.1.3","Operator maturity model","The Operator maturity model describes five phases of generic Day 2 operations that an Operator can support. The level of sophistication of the management logic encapsulated within an Operator can vary. This logic is also in general highly dependent on the type of the service represented by the Operator. One can however generalize the scale of the maturity of the encapsulated operations of an Operator for certain set of capabilities that most Operators can include. To this end, the following Operator maturity model defines five phases of maturity for generic Day 2 operations of an Operator:","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK PACKAGING FORMAT > Bundle format","2.2.1.3","Dependencies","Operator dependencies define relationships between Operators that Operator Lifecycle Manager (OLM) must resolve during installation on OpenShift Container Platform. You can list these dependencies in the optional dependencies.yaml file in a bundle's metadata/ folder. ¶ The dependency list contains a type field for each item to specify what kind of dependency this is. The following types of Operator dependencies are supported: ¶ olm.package This type indicates a dependency for a specific Operator version. The dependency information must include the package name and the version of the package in semver format. For example, you can specify an exact version such as 0.5.2 or a range of versions such as >0.5.1. ¶ olm.gvk With this type, the author can specify a dependency with group/version/kind (GVK) information, similar to existing CRD and API-based usage in a CSV. This is a path to enable Operator authors to consolidate all dependencies, API or explicit versions, to be in the same place. ¶ olm.constraint This type declares generic constraints on arbitrary Operator properties. ¶ In the following example, dependencies are specified for a Prometheus Operator and etcd CRDs: ¶ Example dependencies.yaml file ¶ dependencies: type: olm.package packageName: prometheus version: "">0.27.0"" type: olm.gvk group: etcd.database.coreos.com kind: EtcdCluster version: v1beta2 ¶ Operator Lifecycle Manager dependency resolution","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK PACKAGING FORMAT > Bundle format","2.2.1.4","About the opm CLI","The opm CLI is an Operator Framework tool for creating and maintaining Operator catalogs from bundle images in OpenShift Container Platform. You can use it to build catalog container images that Operator Lifecycle Manager (OLM) references through catalog sources. ¶ A catalog contains a database of pointers to Operator manifest content that can be queried through an included API that is served when the container image is run. On OpenShift Container Platform, Operator Lifecycle Manager (OLM) can reference the image in a catalog source, defined by a CatalogSource object, which polls the image at regular intervals to enable frequent updates to installed Operators on the cluster. ¶ See CLI tools for steps on installing the opm CLI.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK PACKAGING FORMAT > Introduction to file-based catalogs","2.2.2.1","Directory structure","File-based catalogs can be stored and loaded from directory-based file systems. The opm CLI loads the catalog by walking the root directory and recursing into subdirectories. The CLI attempts to load every file it finds and fails if any errors occur. ¶ Non-catalog files can be ignored using .indexignore files, which have the same rules for patterns and precedence as .gitignore files. ¶ Example .indexignore file ¶ # Ignore everything except non-object .json and .yaml files */* !*.json !*.yaml */objects/*.json */objects/*.yaml ¶ Catalog maintainers have the flexibility to choose their layout, but it is recommended to store each package's file-based catalog blobs in separate subdirectories. Each individual file can be either JSON or YAML; it is not necessary for every file in a catalog to use the same format. ¶ Basic recommended structure ¶ catalog packageA index.yaml packageB .indexignore index.yaml objects packageB.v0.1.0.clusterserviceversion.yaml packageC ¶ index.json deprecations.yaml ¶ This recommended structure has the property that each subdirectory in the directory hierarchy is a self- contained catalog, which makes catalog composition, discovery, and navigation trivial file system operations. The catalog can also be included in a parent catalog by copying it into the parent catalog's root directory.","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK PACKAGING FORMAT > Introduction to file-based catalogs","2.2.2.2","Schemas","File-based catalogs on OpenShift Container Platform use a CUE-based format with schemas that define catalog structure for Operator Lifecycle Manager (OLM). Each Operator package requires one olm.package blob, at least one olm.channel blob, and one or more olm.bundle blobs. ¶ _Meta schema ¶ _Meta: { // schema is required and must be a non-empty string schema: string & !="""" ¶ // package is optional, but if it's defined, it must be a non-empty string package?: string & !="""" ¶ // properties is optional, but if it's defined, it must be a list of 0 or more properties properties?: [... #Property] ¶ #Property: { // type is required type: string & !="""" ¶ // value is required, and it must not be null value: !=null ¶ No CUE schemas listed in this specification should be considered exhaustive. The opm validate command has additional validations that are difficult or impossible to express concisely in CUE. ¶ All olm.* schemas are reserved for OLM-defined schemas. Custom schemas must use a unique prefix, such as a domain that you own. ¶ 2.2.2.2.1. olm.package schema ¶ The olm.package schema specifies package-level metadata for Operators in file-based catalogs, including name, default channel, and icon. Use this schema reference when you build or validate Operator package definitions for Operator Lifecycle Manager (OLM). ¶ Example 2.1. olm.package schema ¶ #Package: { schema: ""olm.package"" ¶ // Package name name: string & !="""" ¶ // A description of the package description?: string ¶ // The package's default channel defaultChannel: string & !="""" ¶ // An optional icon icon?: { ¶ base64data: string mediatype: string ¶ 2.2.2.2.2. olm.channel schema The olm.channel schema defines a channel within a package, the bundle entries that are members of the channel, and the upgrade paths for those bundles. If a bundle entry represents an edge in multiple olm.channel blobs, it can only appear once per channel. ¶ It is valid for an entry's replaces value to reference another bundle name that cannot be found in this catalog or another catalog. However, all other channel invariants must hold true, such as a channel not having multiple heads. ¶ Example 2.2. olm.channel schema ¶ #Channel: { schema: ""olm.channel"" package: string & !="""" name: string & !="""" entries: [...#ChannelEntry] ¶ #ChannelEntry: { // name is required. It is the name of an `olm.bundle` that // is present in the channel. name: string & !="""" ¶ // replaces is optional. It is the name of bundle that is replaced // by this entry. It does not have to be present in the entry list. replaces?: string & !="""" ¶ // skips is optional. It is a list of bundle names that are skipped by // this entry. The skipped bundles do not have to be present in the // entry list. skips?: [...string & !=""""] ¶ // skipRange is optional. It is the semver range of bundle versions // that are skipped by this entry. skipRange?: string & !="""" ¶ WARNING When using the skipRange field, the skipped Operator versions are pruned from the update graph and are longer installable by users with the spec.startingCSV property of Subscription objects. ¶ You can update an Operator incrementally while keeping previously installed versions available to users for future installation by using both the skipRange and replaces field. Ensure that the replaces field points to the immediate previous version of the Operator version in question. ¶ CUE language specification ¶ 2.2.2.2.3. olm.bundle schema ¶ The olm.bundle schema defines the structure of bundle entries stored in an Operator catalog index. It specifies required fields such as package name, bundle name, image reference, and optional properties and related images. ¶ Example 2.3. olm.bundle schema ¶ #Bundle: { schema: ""olm.bundle"" package: string & !="""" name: string & !="""" image: string & !="""" properties: [...#Property] relatedImages?: [...#RelatedImage] ¶ #Property: { // type is required type: string & !="""" ¶ // value is required, and it must not be null value: !=null ¶ #RelatedImage: { // image is the image reference image: string & !="""" ¶ // name is an optional descriptive name for an image that // helps identify its purpose in the context of the bundle name?: string & !="""" ¶ 2.2.2.2.4. olm.deprecations schema ¶ The optional olm.deprecations schema defines deprecation information for packages, bundles, and channels in an Operator catalog. When you define this schema, the web console displays warning badges and deprecation messages in the software catalog. ¶ An olm.deprecations schema entry contains one or more of the following reference types, which indicates the deprecation scope. After the Operator is installed, any specified messages can be viewed as status conditions on the related Subscription object. ¶ Type Scope Status condition ¶ olm.package Represents the entire package PackageDeprecated ¶ olm.channel Represents one channel ChannelDeprecated ¶ olm.bundle Represents one bundle version BundleDeprecated ¶ Each reference type has their own requirements, as detailed in the following example. ¶ Example olm.deprecations schema with each reference type ¶ schema: olm.deprecations package: my-operator entries: ¶ reference: schema: olm.package ¶ message: | The 'my-operator' package is end of life. Please use the 'my-operator-new' package for support. reference: ¶ schema: olm.channel name: alpha message: | The 'alpha' channel is no longer supported. Please switch to the 'stable' channel. reference: schema: olm.bundle name: my-operator.v1.68.0 message: | my-operator.v1.68.0 is deprecated. Uninstall my-operator.v1.68.0 and install my-operator.v1.72.0 for support. ¶ Each deprecation schema must have a package value, and that package reference must be unique across the catalog. There must not be an associated name field. ¶ The olm.package schema must not include a name field, because it is determined by the package field defined earlier in the schema. ¶ All message fields, for any reference type, must be a non-zero length and represented as an opaque text blob. ¶ The name field for the olm.channel schema is required. ¶ The name field for the olm.bundle schema is required. ¶ The deprecation feature does not consider overlapping deprecation, for example package versus channel versus bundle. ¶ Operator authors can save olm.deprecations schema entries as a deprecations.yaml file in the same directory as the package's index.yaml file: ¶ Example directory structure for a catalog with deprecations ¶ my-catalog my-operator ¶ index.yaml deprecations.yaml ¶ Updating or filtering a file-based catalog image","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK PACKAGING FORMAT > Introduction to file-based catalogs","2.2.2.3","Properties","Properties are arbitrary pieces of metadata that can be attached to file-based catalog schemas. The type field is a string that effectively specifies the semantic and syntactic meaning of the value field. The value can be any arbitrary JSON or YAML. ¶ OLM defines a handful of property types, again using the reserved olm.* prefix. ¶ 2.2.2.3.1. olm.package property ¶ The olm.package property defines the package name and version. This is a required property on bundles, and there must be exactly one of these properties. The packageName field must match the bundle's first-class package field, and the version field must be a valid semantic version. ¶ olm.package property ¶ #PropertyPackage: { type: ""olm.package"" value: { packageName: string & !="""" version: string & !="""" ¶ 2.2.2.3.2. olm.gvk property ¶ The olm.gvk property defines the group/version/kind (GVK) of a Kubernetes API that is provided by this bundle. This property is used by OLM to resolve a bundle with this property as a dependency for other bundles that list the same GVK as a required API. The GVK must adhere to Kubernetes GVK validations. ¶ olm.gvk property ¶ #PropertyGVK: { type: ""olm.gvk"" value: { group: string & !="""" version: string & !="""" kind: string & !="""" ¶ 2.2.2.3.3. olm.package.required ¶ The olm.package.required property defines the package name and version range of another package that this bundle requires. For every required package property a bundle lists, OLM ensures there is an Operator installed on the cluster for the listed package and in the required version range. The versionRange field must be a valid semantic version (semver) range. ¶ olm.package.required property ¶ #PropertyPackageRequired: { type: ""olm.package.required"" value: { packageName: string & !="""" versionRange: string & !="""" ¶ 2.2.2.3.4. olm.gvk.required ¶ The olm.gvk.required property defines the group/version/kind (GVK) of a Kubernetes API that this bundle requires. For every required GVK property a bundle lists, OLM ensures there is an Operator installed on the cluster that provides it. The GVK must adhere to Kubernetes GVK validations. ¶ olm.gvk.required property ¶ #PropertyGVKRequired: { type: ""olm.gvk.required"" value: { group: string & !="""" version: string & !="""" kind: string & !=""""","",""
"UNDERSTANDING OPERATORS > OPERATOR FRAMEWORK PACKAGING FORMAT > Introduction to file-based catalogs","2.2.2.4","Example catalog","With file-based catalogs, catalog maintainers can focus on Operator curation and compatibility. ¶ Because Operator authors have already produced Operator-specific catalogs for their Operators, catalog maintainers can build their catalog by rendering each Operator catalog into a subdirectory of the catalog's root directory. ¶ There are many possible ways to build a file-based catalog; the following steps outline a simple approach: ¶ 1. Maintain a single configuration file for the catalog, containing image references for each Operator in the catalog: ¶ Example catalog configuration file ¶ name: community-operators repo: quay.io/community-operators/catalog tag: latest references: name: etcd-operator ¶ image: quay.io/etcd- operator/index@sha256:5891b5b522d5df086d0ff0b110fbd9d21bb4fc7163af34d08286a2e846f 6be03 name: prometheus-operator ¶ image: quay.io/prometheus- operator/index@sha256:e258d248fda94c63753607f7c4494ee0fcbe92f1a76bfdac795c9d84101 eb317 ¶ 2. Run a script that parses the configuration file and creates a new catalog from its references: ¶ Example script ¶ name=$(yq eval '.name' catalog.yaml) mkdir ""$name"" yq eval '.name + ""/"" + .references[].name' catalog.yaml | xargs mkdir for l in $(yq e '.name as $catalog | .references[] | .image + ""|"" + $catalog + ""/"" + .name + ""/index.yaml""' catalog.yaml); do ¶ image=$(echo $l | cut -d'|' -f1) file=$(echo $l | cut -d'|' -f2) opm render ""$image"" > ""$file"" done opm generate dockerfile ""$name"" indexImage=$(yq eval '.repo + "":"" + .tag' catalog.yaml) docker build -t ""$indexImage"" -f ""$name.Dockerfile"" . docker push ""$indexImage""","",""
